seq_id	sample	species	gene	geneLength
ODOLMAEB_00107	DQ648857	BAT	Protein 3a	824
EBIIEENH_01049	BetaCoV/Kiel/ChVir3038/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01049	668
ODOLMAEB_01510	MN611519	BAT	Spike glycoprotein	4034
ODOLMAEB_00585	JQ989270	BAT	hypothetical protein	224
EBIIEENH_01020	BetaCoV/Germany/ChVir2127/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01020	7787
NMICGJMG_00133	GWHACAZ01000001	WUHAN	Spike glycoprotein	3821
ODOLMAEB_02342	KF294457	BAT	Nucleoprotein	1265
NMICGJMG_00490	hCoV-19/Wuhan/HBCDC-HB-03/2019	WUHAN	Spike glycoprotein	3821
EBIIEENH_00799	BetaCoV/Berlin/MD572007101/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00799	7787
EBIIEENH_01070	BetaCoV/Kiel/CSpecVir3045/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_01070	13217
EBIIEENH_01364	BetaCoV/Germany/ChVir3215/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01364	668
ODOLMAEB_00963	KY417143	BAT	Membrane protein	665
ODOLMAEB_01117	KY770858	BAT	hypothetical protein	368
EBIIEENH_00822	BetaCoV/Rotenburg/ChVir2026/2020	CHAIRITE	s2m	42
EBIIEENH_01386	BetaCoV/Germany/ChVir3219/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_01930	KJ473810	BAT	Corona_FSE	78
ODOLMAEB_00955	KY417142	BAT	Nucleoprotein	1268
EBIIEENH_00696	BetaCoV/Berlin/MD572007047/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00696	3821
EBIIEENH_00597	BetaCoV/Berlin/ChVir2192/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00597	131
ODOLMAEB_00143	EF065507	BAT	Non-structural protein ORF4a	359
NMICGJMG_00397	hCoV-19/Wuhan/IPBCAMS-WH-04/2019	WUHAN	hypothetical protein	365
EBIIEENH_00899	BetaCoV/Berlin/MD572006377/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00899	155
ODOLMAEB_00595	JQ989271	BAT	Spike glycoprotein	4049
NMICGJMG_00051	GWHABKZ01000001	WUHAN	hypothetical protein	155
ODOLMAEB_00014	DQ071615	BAT	Replicase polyprotein 1a	13142
EBIIEENH_00695	BetaCoV/Berlin/MD572007047/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00695	7787
ODOLMAEB_01558	MN611523	BAT	hypothetical protein	461
ODOLMAEB_01732	MH687949	BAT	hypothetical protein	674
ODOLMAEB_00890	KX574227	BAT	Corona_FSE	84
EBIIEENH_01251	BetaCoV/Germany/ChVir3196/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01251	668
ODOLMAEB_01952	KJ473808	BAT	Membrane protein	686
ODOLMAEB_01350	MH002340	BAT	Spike glycoprotein	3923
ODOLMAEB_00784	KJ473822	BAT	Corona_FSE	84
NMICGJMG_00165	GWHACBB01000001	WUHAN	Nucleoprotein	1259
NMICGJMG_00176	GWHACBD01000001	WUHAN	hypothetical protein	131
ODOLMAEB_01202	MG596802	BAT	Spike glycoprotein	4013
ODOLMAEB_01340	MH002339	BAT	hypothetical protein	275
ODOLMAEB_00882	KX442565	BAT	Non-structural protein ORF4a	293
ODOLMAEB_00050	DQ084200	BAT	hypothetical protein	365
EBIIEENH_00457	BetaCoV/Berlin/ChVir1963/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00457	131
EBIIEENH_00854	BetaCoV/Rastede/ChVir2098/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00854	668
EBIIEENH_01349	BetaCoV/Germany/ChVir3214/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01349	7832
ODOLMAEB_01135	KY770860	BAT	Protein 3a	824
ODOLMAEB_01083	KY417152	BAT	Membrane protein	665
EBIIEENH_01175	BetaCoV/Germany/ChVir3184/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01175	3821
EBIIEENH_00963	BetaCoV/Germany/ChVir2117/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00963	1259
EBIIEENH_00782	BetaCoV/Berlin/MD572007095/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00782	155
EBIIEENH_00728	BetaCoV/Berlin/MD572007356/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00728	365
EBIIEENH_00149	BetaCoV/Munich/BavPat15-ChVir1484-ChVir1536/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00149	1259
ODOLMAEB_01962	MK211374	BAT	Membrane protein	665
NMICGJMG_00531	hCoV-19/Wuhan/HBCDC-HB-03/2020	WUHAN	Spike glycoprotein	3821
ODOLMAEB_02016	MK211377	BAT	hypothetical protein	191
ODOLMAEB_00153	EF065508	BAT	hypothetical protein	275
ODOLMAEB_02334	KF294457	BAT	Replicase polyprotein 1ab	7886
EBIIEENH_00672	BetaCoV/Berlin/MD572006901/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00672	668
EBIIEENH_00788	BetaCoV/Berlin/MD572007101a/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00788	827
ODOLMAEB_00119	EF065505	BAT	Spike glycoprotein	4034
EBIIEENH_00843	BetaCoV/Bremerhaven/ChVir2097/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00843	365
ODOLMAEB_00914	KY073745	BAT	hypothetical protein	683
EBIIEENH_00744	BetaCoV/Germany/MD572007081/2020	CHAIRITE	s2m	42
EBIIEENH_00567	BetaCoV/Germany/ChVir1994/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00567	827
EBIIEENH_00002	BetaCoV/Munich/BavPat2-ChVir984-ChVir1017/2020	CHAIRITE	Corona_FSE	81
EBIIEENH_00785	BetaCoV/Berlin/MD572007101a/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00922	KY073746	BAT	Replicase polyprotein 1ab	7844
EBIIEENH_01079	BetaCoV/Kiel/CSpecVir3045/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01079	365
ODOLMAEB_01423	MH938449	BAT	hypothetical protein	326
EBIIEENH_01069	BetaCoV/Neumuenster/ChVir3042/2020	CHAIRITE	s2m	42
ODOLMAEB_00188	EF065511	BAT	hypothetical protein	311
NMICGJMG_00183	GWHACDE01000001	WUHAN	Replicase polyprotein 1ab	7787
EBIIEENH_00566	BetaCoV/Germany/ChVir1994/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00566	3821
ODOLMAEB_01922	KJ473809	BAT	Spike glycoprotein	4112
NMICGJMG_00239	GWHACDI01000001	WUHAN	Protein 7a	365
NMICGJMG_00322	hCoV-19/Wuhan/WIV02/2019	WUHAN	s2m	42
EBIIEENH_01270	BetaCoV/Germany/ChVir3199/2020	CHAIRITE	s2m	42
EBIIEENH_01277	BetaCoV/Germany/ChVir3200/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01277	185
ODOLMAEB_01555	MN611523	BAT	Membrane protein	686
ODOLMAEB_01598	MH687934	BAT	Nucleoprotein	1184
EBIIEENH_00528	BetaCoV/Lauben/ChVir1980/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00528	827
EBIIEENH_00741	BetaCoV/Germany/MD572007081/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00741	365
ODOLMAEB_00148	EF065507	BAT	Nucleoprotein	1271
EBIIEENH_01475	EPI_ISL_412912|Europe-Germany-Baden-Wuerttemberg-unknown|2020-02-25	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01475	3821
EBIIEENH_00949	BetaCoV/Germany/ChVir2114/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00949	365
NMICGJMG_00571	hCoV-19/Wuhan/HBCDC-HB-06/2020	WUHAN	Membrane protein	668
ODOLMAEB_00702	KF636752	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_01824	MH687960	BAT	Replicase polyprotein 1a	12251
EBIIEENH_00001	BetaCoV/Munich/BavPat2-ChVir984-ChVir1017/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00001	13217
ODOLMAEB_00916	KY073745	BAT	Membrane protein	680
EBIIEENH_00531	BetaCoV/Lauben/ChVir1980/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00531	365
EBIIEENH_00352	BetaCoV/Berlin/ChVir1897/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00352	131
ODOLMAEB_01411	MH938448	BAT	Membrane protein	683
ODOLMAEB_01820	MH687959	BAT	Membrane protein	683
ODOLMAEB_01084	KY417152	BAT	hypothetical protein	191
ODOLMAEB_01147	KY799179	BAT	Spike glycoprotein	4097
EBIIEENH_00473	BetaCoV/Berlin/ChVir1964/2020	CHAIRITE	s2m	42
ODOLMAEB_01413	MH938448	BAT	hypothetical protein	290
ODOLMAEB_01375	MH002342	BAT	Non-structural protein ORF4a	359
ODOLMAEB_01344	MH002339	BAT	Envelope small membrane protein	248
CGIJCJNJ_00028	MT040335	PANGOLIN	Replicase polyprotein 1ab	7787
ODOLMAEB_01030	KY417148	BAT	hypothetical protein	191
EBIIEENH_00585	BetaCoV/Ploen/ChVir2000/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00585	365
EBIIEENH_01174	BetaCoV/Germany/ChVir3184/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01174	7787
EBIIEENH_01207	BetaCoV/Germany/ChVir3187/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01207	365
ODOLMAEB_01914	KJ473806	BAT	Spike glycoprotein	4163
NMICGJMG_00281	hCoV-19/Wuhan/IVDC-HB-04/2020	WUHAN	Nucleoprotein	1259
EBIIEENH_00311	BetaCov/Weitenhagen/ChVir1689/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00311	185
EBIIEENH_00392	BetaCov/Koblenz/ChVir1908/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00392	365
ODOLMAEB_01611	MH687936	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_00211	EF065513	BAT	Spike glycoprotein	3824
ODOLMAEB_01963	MK211374	BAT	hypothetical protein	119
EBIIEENH_00961	BetaCoV/Germany/ChVir2117/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00961	131
ODOLMAEB_01356	MH002340	BAT	Membrane protein	353
EBIIEENH_00153	BetaCoV/Munich/BavPat16-ChVir1530/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00761	KJ473800	BAT	hypothetical protein	12674
NMICGJMG_00026	2019-nCoV_WH04	WUHAN	s2m	42
EBIIEENH_00195	BetaCoV/Duesseldorf/ChVir1601/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00195	365
ODOLMAEB_01869	MH687964	BAT	Nucleoprotein	1184
ODOLMAEB_01352	MH002340	BAT	Non-structural protein ORF4a	359
ODOLMAEB_00990	KY417145	BAT	Membrane protein	665
ODOLMAEB_00186	EF065511	BAT	Replicase polyprotein 1ab	7907
EBIIEENH_00587	BetaCoV/Ploen/ChVir2000/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00587	155
ODOLMAEB_02330	KC869678	BAT	Nucleoprotein	1244
NMICGJMG_00220	GWHACDH01000001	WUHAN	Corona_FSE	81
EBIIEENH_01162	BetaCoV/Berlin/MD572006599/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01162	3821
NMICGJMG_00078	GWHACAU01000001	WUHAN	s2m	42
ODOLMAEB_01539	MN611522	BAT	Corona_FSE	78
ODOLMAEB_01945	KJ473807	BAT	Corona_pk3	62
ODOLMAEB_00835	KU182965	BAT	hypothetical protein	275
EBIIEENH_00461	BetaCoV/Berlin/ChVir1964/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00461	13217
ODOLMAEB_02293	KT253270	BAT	Corona_FSE	78
EBIIEENH_00853	BetaCoV/Rastede/ChVir2098/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00853	827
ODOLMAEB_01813	MH687958	BAT	Nucleoprotein	1184
ODOLMAEB_00691	KF430219	BAT	Corona_FSE	78
EBIIEENH_01041	BetaCoV/Germany/ChVir3003/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01041	1259
NMICGJMG_00180	GWHACBD01000001	WUHAN	s2m	42
NMICGJMG_00276	hCoV-19/Wuhan/IVDC-HB-04/2020	WUHAN	Membrane protein	668
ODOLMAEB_00094	DQ648856	BAT	Protein 3a	824
ODOLMAEB_01747	MH687951	BAT	Replicase polyprotein 1a	12320
ODOLMAEB_00842	KU762338	BAT	Replicase polyprotein 1ab	12872
ODOLMAEB_00998	KY417146	BAT	Corona_FSE	81
EBIIEENH_01282	BetaCoV/Germany/ChVir3200/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01282	155
ODOLMAEB_00924	KY073746	BAT	hypothetical protein	683
EBIIEENH_01334	BetaCoV/Germany/ChVir3210/2020	CHAIRITE	s2m	42
ODOLMAEB_01901	MG923574	BAT	Replicase polyprotein 1a	12269
EBIIEENH_00427	BetaCoV/Berlin/ChVir1959/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00427	668
EBIIEENH_01489	EPI_ISL_406862|Europe-Germany-Bavaria-Munich|2020-01-28	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01489	668
EBIIEENH_00336	BetaCoV/Berlin/ChVir1716/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00336	668
EBIIEENH_00887	BetaCoV/Bremerhaven/ChVir2101/2020	CHAIRITE	s2m	42
NMICGJMG_00317	hCoV-19/Wuhan/WIV02/2019	WUHAN	Protein 7a	365
ODOLMAEB_01913	KJ473806	BAT	Replicase polyprotein 1ab	7853
ODOLMAEB_00989	KY417145	BAT	Envelope small membrane protein	230
EBIIEENH_00911	BetaCoV/Germany/ChVir2105/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00911	1259
NMICGJMG_00500	hCoV-19/Wuhan/HBCDC-HB-04/2019	WUHAN	Replicase polyprotein 1a	3953
ODOLMAEB_02218	MF094688	BAT	Corona_pk3	62
ODOLMAEB_00404	GQ153544	BAT	Replicase polyprotein 1ab	7886
NMICGJMG_00079	GWHACAV01000001	WUHAN	Replicase polyprotein 1a	13217
EBIIEENH_00974	BetaCoV/Germany/ChVir2118/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00974	131
NMICGJMG_00355	hCoV-19/Wuhan/WIV07/2019	WUHAN	hypothetical protein	185
NMICGJMG_00065	GWHACAT01000001	WUHAN	s2m	42
NMICGJMG_00502	hCoV-19/Wuhan/HBCDC-HB-04/2019	WUHAN	Replicase polyprotein 1a	3557
ODOLMAEB_00146	EF065507	BAT	Envelope small membrane protein	248
ODOLMAEB_00983	KY417144	BAT	s2m	42
ODOLMAEB_00453	GQ153547	BAT	s2m	42
EBIIEENH_01330	BetaCoV/Germany/ChVir3210/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01330	131
NMICGJMG_00152	GWHACBA01000001	WUHAN	Nucleoprotein	1259
ODOLMAEB_01861	MH687963	BAT	Corona_pk3	62
ODOLMAEB_00506	HM211099	BAT	Membrane protein	659
EBIIEENH_00537	BetaCoV/Lauben/ChVir1981/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00537	13217
EBIIEENH_00055	BetaCoV/Munich/BavPat5-ChVir1248/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00055	7787
NMICGJMG_00019	2019-nCoV_WH04	WUHAN	Membrane protein	668
NMICGJMG_00030	2019-nCoV_WH03	WUHAN	Spike glycoprotein	3821
EBIIEENH_00625	BetaCoV/Berlin/ChVir2192-MD572006634/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00625	1259
ODOLMAEB_02230	MF094686	BAT	Coronavirus_5p_sl_1_2	71
ODOLMAEB_01089	KY417152	BAT	s2m	42
EBIIEENH_00096	BetaCoV/Munich/BavPat9-ChVir1433/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00096	668
EBIIEENH_00874	BetaCoV/Rastede/ChVir2099/2020	CHAIRITE	s2m	42
ODOLMAEB_02208	MF094688	BAT	Coronavirus_5p_sl_1_2	71
ODOLMAEB_01264	MG772934	BAT	hypothetical protein	365
ODOLMAEB_00480	MN996532	BAT	Spike glycoprotein	3809
ODOLMAEB_00823	KU182964	BAT	Protein 3a	824
ODOLMAEB_01125	KY770859	BAT	Envelope small membrane protein	230
ODOLMAEB_02176	KJ473814	BAT	Replicase polyprotein 1ab	7886
EBIIEENH_00948	BetaCoV/Germany/ChVir2114/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00948	131
EBIIEENH_00919	BetaCoV/Germany/ChVir2109/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00919	668
CGIJCJNJ_00036	MT040335	PANGOLIN	hypothetical protein	365
EBIIEENH_00894	BetaCoV/Berlin/MD572006377/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00894	185
ODOLMAEB_00699	KF430219	BAT	Corona_pk3	62
ODOLMAEB_00756	KJ473799	BAT	Membrane protein	758
ODOLMAEB_00307	EU420138	BAT	Corona_FSE	78
EBIIEENH_00119	BetaCoV/Munich/BavPat10-ChVir1482/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00119	827
EBIIEENH_00856	BetaCoV/Rastede/ChVir2098/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00856	365
EBIIEENH_00384	BetaCov/Koblenz/ChVir1908/2020	CHAIRITE	Corona_FSE	81
EBIIEENH_00942	BetaCoV/Germany/ChVir2114/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00942	7787
NMICGJMG_00040	GWHABKZ01000001	WUHAN	Replicase polyprotein 1a	13217
ODOLMAEB_00613	JQ989272	BAT	hypothetical protein	461
ODOLMAEB_01534	MN611521	BAT	hypothetical protein	674
ODOLMAEB_00513	HM211100	BAT	Replicase polyprotein 1ab	7760
ODOLMAEB_01450	MK720944	BAT	hypothetical protein	227
ODOLMAEB_01044	KY417149	BAT	Protein 7a	368
ODOLMAEB_01114	KY770858	BAT	hypothetical protein	191
ODOLMAEB_02220	MF094685	BAT	Replicase polyprotein 1a	12182
NMICGJMG_00475	hCoV-19/Wuhan/HBCDC-HB-02/2019	WUHAN	Corona_FSE	81
EBIIEENH_01378	BetaCoV/Germany/ChVir3218/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01378	185
ODOLMAEB_00096	DQ648856	BAT	Membrane protein	665
CGIJCJNJ_00009	MT040333	PANGOLIN	Protein 7a	365
EBIIEENH_00434	BetaCoV/Berlin/ChVir1959/2020	CHAIRITE	s2m	42
ODOLMAEB_01351	MH002340	BAT	hypothetical protein	311
EBIIEENH_00900	BetaCoV/Berlin/MD572006377/2020	CHAIRITE	s2m	42
EBIIEENH_01187	BetaCoV/Germany/CSpecVir3185/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01187	7787
EBIIEENH_00620	BetaCoV/Berlin/ChVir2192-MD572006634/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00620	668
EBIIEENH_00279	BetaCoV/Rheinisch-Bergischer-Kreis/ChVir1683/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00279	13217
NMICGJMG_00115	GWHACAX01000001	WUHAN	Nucleoprotein	1259
NMICGJMG_00419	hCoV-19/Wuhan/IPBCAMS-WH-02/2019	WUHAN	Membrane protein	668
EBIIEENH_00768	BetaCoV/Berlin/MD572007095a/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00768	1259
EBIIEENH_01163	BetaCoV/Berlin/MD572006599/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01163	827
EBIIEENH_00447	BetaCoV/Berlin/ChVir1963/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00447	11027
ODOLMAEB_00596	JQ989271	BAT	hypothetical protein	656
EBIIEENH_00200	BetaCoV/Duesseldorf/ChVir1601/2020	CHAIRITE	s2m	42
ODOLMAEB_01777	MH687955	BAT	Replicase polyprotein 1a	12386
EBIIEENH_01449	BetaCoV/Berlin/572006643/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01449	3821
EBIIEENH_00612	BetaCoV/Berlin/MD572006634/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00612	1259
ODOLMAEB_01219	MG596803	BAT	Membrane protein	656
ODOLMAEB_00367	GQ153541	BAT	Spike glycoprotein	3728
ODOLMAEB_01171	LC469308	BAT	Non-structural protein ORF4a	284
ODOLMAEB_00881	KX442565	BAT	hypothetical protein	311
ODOLMAEB_00017	DQ071615	BAT	Spike glycoprotein	3725
ODOLMAEB_01891	MH687967	BAT	Replicase polyprotein 1a	12320
NMICGJMG_00553	hCoV-19/Wuhan/HBCDC-HB-04/2020	WUHAN	s2m	42
ODOLMAEB_01655	MH687940	BAT	Membrane protein	683
ODOLMAEB_02324	KC869678	BAT	Spike glycoprotein	4010
EBIIEENH_00344	BetaCoV/Berlin/ChVir1897/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00344	13217
EBIIEENH_00150	BetaCoV/Munich/BavPat15-ChVir1484-ChVir1536/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00150	155
ODOLMAEB_01993	MK211375	BAT	Nucleoprotein	1268
ODOLMAEB_01327	MH002338	BAT	Replicase polyprotein 1ab	7862
EBIIEENH_00658	BetaCoV/Berlin/MD572006901a/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00658	827
EBIIEENH_00424	BetaCoV/Berlin/ChVir1959/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00424	7787
ODOLMAEB_00610	JQ989272	BAT	Membrane protein	680
ODOLMAEB_00932	KY073747	BAT	Membrane protein	680
ODOLMAEB_02029	MK211378	BAT	hypothetical protein	191
ODOLMAEB_00966	KY417143	BAT	hypothetical protein	134
EBIIEENH_01464	BetaCoV/Berlin/572007102/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01464	668
EBIIEENH_00784	BetaCoV/Berlin/MD572007101a/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00784	13217
ODOLMAEB_01118	KY770858	BAT	Nucleoprotein	1265
ODOLMAEB_02147	KJ473811	BAT	Nucleoprotein	1262
ODOLMAEB_00287	EF203067	BAT	Corona_FSE	78
EBIIEENH_00988	BetaCoV/Germany/ChVir2119/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00988	365
ODOLMAEB_00754	KJ473799	BAT	hypothetical protein	668
NMICGJMG_00136	GWHACAZ01000001	WUHAN	hypothetical protein	185
EBIIEENH_00479	BetaCoV/Germany/ChVir1967/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00479	668
EBIIEENH_01232	BetaCoV/Germany/ChVir3193/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01232	131
ODOLMAEB_01956	MK211374	BAT	Replicase polyprotein 1a	13115
EBIIEENH_00660	BetaCoV/Berlin/MD572006901a/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00660	185
NMICGJMG_00154	GWHACBA01000001	WUHAN	s2m	42
ODOLMAEB_00321	EU420139	BAT	Membrane protein	755
EBIIEENH_01340	BetaCoV/Germany/ChVir3211/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01340	668
ODOLMAEB_02125	KJ473812	BAT	Corona_FSE	81
ODOLMAEB_02228	MF094685	BAT	hypothetical protein	299
NMICGJMG_00277	hCoV-19/Wuhan/IVDC-HB-04/2020	WUHAN	hypothetical protein	185
ODOLMAEB_01563	MN611524	BAT	Spike glycoprotein	4130
EBIIEENH_00006	BetaCoV/Munich/BavPat2-ChVir984-ChVir1017/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00006	668
ODOLMAEB_01516	MN611519	BAT	Membrane protein	659
EBIIEENH_00148	BetaCoV/Munich/BavPat15-ChVir1484-ChVir1536/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00148	365
ODOLMAEB_00956	KY417142	BAT	s2m	42
ODOLMAEB_02351	KF569996	BAT	hypothetical protein	191
NMICGJMG_00043	GWHABKZ01000001	WUHAN	Spike glycoprotein	3821
CGIJCJNJ_00037	MT040335	PANGOLIN	Nucleoprotein	1253
ODOLMAEB_01647	MH687939	BAT	hypothetical protein	494
ODOLMAEB_00512	HM211100	BAT	Corona_FSE	84
ODOLMAEB_01975	MK211373	BAT	hypothetical protein	668
EBIIEENH_00125	BetaCoV/Munich/BavPat10-ChVir1482/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00125	1259
ODOLMAEB_00038	DQ084199	BAT	Nucleoprotein	1265
ODOLMAEB_01479	MK720946	BAT	Corona_pk3	62
EBIIEENH_01110	BetaCoV/Berlin/2011777/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00887	KX442565	BAT	Nucleoprotein	1298
NMICGJMG_00463	hCoV-19/env/Wuhan/IVDC-HBF13-21/2020	WUHAN	Nucleoprotein	1259
EBIIEENH_01490	EPI_ISL_406862|Europe-Germany-Bavaria-Munich|2020-01-28	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01490	185
NMICGJMG_00007	2019-nCoV_WH01	WUHAN	hypothetical protein	185
ODOLMAEB_02044	MK211379	BAT	hypothetical protein	593
ODOLMAEB_01530	MN611521	BAT	Replicase polyprotein 1a	12386
ODOLMAEB_01079	KY417152	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_00726	KJ473796	BAT	Nucleoprotein	1169
EBIIEENH_00578	BetaCoV/Ploen/ChVir2000/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00578	7787
ODOLMAEB_01246	MG772933	BAT	Spike glycoprotein	3740
