locus_tag	ftype	length_bp	gene	EC_number	COG	product
ODOLMAEB_00452	CDS	1266	N_35			Nucleoprotein
ODOLMAEB_00453	misc_RNA	43				s2m
ODOLMAEB_00454	CDS	13104	1a_31			Replicase polyprotein 1a
ODOLMAEB_00455	misc_RNA	82				Corona_FSE
ODOLMAEB_00456	CDS	7887	rep_43			Replicase polyprotein 1ab
ODOLMAEB_00457	CDS	3729	S_35			Spike glycoprotein
ODOLMAEB_00458	CDS	825	3a_19			Protein 3a
ODOLMAEB_00459	CDS	231	E_28			Envelope small membrane protein
ODOLMAEB_00460	CDS	666	M_39			Membrane protein
ODOLMAEB_00461	CDS	192				hypothetical protein
ODOLMAEB_00462	CDS	369	7a_19			Protein 7a
ODOLMAEB_00463	CDS	135				hypothetical protein
ODOLMAEB_00464	CDS	366				hypothetical protein
ODOLMAEB_00465	CDS	1266	N_36			Nucleoprotein
ODOLMAEB_00466	misc_RNA	43				s2m
ODOLMAEB_00467	CDS	13122	1a_32			Replicase polyprotein 1a
ODOLMAEB_00468	misc_RNA	82				Corona_FSE
ODOLMAEB_00469	CDS	7887	rep_44			Replicase polyprotein 1ab
ODOLMAEB_00470	CDS	3780	S_36			Spike glycoprotein
ODOLMAEB_00471	CDS	816	3a_20			Protein 3a
ODOLMAEB_00472	CDS	684	M_40			Membrane protein
ODOLMAEB_00473	CDS	189				hypothetical protein
ODOLMAEB_00474	CDS	357	7a_20			Protein 7a
ODOLMAEB_00475	CDS	1254	N_37			Nucleoprotein
ODOLMAEB_00476	misc_RNA	43				s2m
ODOLMAEB_00477	CDS	13215	1a_33			Replicase polyprotein 1a
ODOLMAEB_00478	misc_RNA	82				Corona_FSE
ODOLMAEB_00479	CDS	7746	rep_45			Replicase polyprotein 1ab
ODOLMAEB_00480	CDS	3810	S_37			Spike glycoprotein
ODOLMAEB_00481	CDS	828	3a_21			Protein 3a
ODOLMAEB_00482	CDS	666	M_41			Membrane protein
ODOLMAEB_00483	CDS	186				hypothetical protein
ODOLMAEB_00484	CDS	366	7a_21			Protein 7a
ODOLMAEB_00485	CDS	132				hypothetical protein
ODOLMAEB_00486	CDS	366				hypothetical protein
ODOLMAEB_00487	CDS	1260	N_38			Nucleoprotein
ODOLMAEB_00488	misc_RNA	43				s2m
ODOLMAEB_00489	CDS	12696	rep_46			Replicase polyprotein 1ab
ODOLMAEB_00490	misc_RNA	85				Corona_FSE
ODOLMAEB_00491	CDS	7761	rep_47			Replicase polyprotein 1ab
ODOLMAEB_00492	CDS	3810	S_38			Spike glycoprotein
ODOLMAEB_00493	CDS	693				hypothetical protein
ODOLMAEB_00494	CDS	231				hypothetical protein
ODOLMAEB_00495	CDS	663	M_42			Membrane protein
ODOLMAEB_00496	CDS	1407				hypothetical protein
ODOLMAEB_00497	CDS	597				hypothetical protein
ODOLMAEB_00498	CDS	447				hypothetical protein
ODOLMAEB_00499	misc_RNA	59				Corona_pk3
ODOLMAEB_00500	CDS	12672	rep_48			Replicase polyprotein 1ab
ODOLMAEB_00501	misc_RNA	85				Corona_FSE
ODOLMAEB_00502	CDS	7719	rep_49			Replicase polyprotein 1ab
ODOLMAEB_00503	CDS	3843	S_39			Spike glycoprotein
ODOLMAEB_00504	CDS	693				hypothetical protein
ODOLMAEB_00505	CDS	240				hypothetical protein
ODOLMAEB_00506	CDS	660	M_43			Membrane protein
ODOLMAEB_00507	CDS	1410	N_39			Nucleoprotein
ODOLMAEB_00508	CDS	594				hypothetical protein
ODOLMAEB_00509	CDS	444				hypothetical protein
ODOLMAEB_00510	misc_RNA	59				Corona_pk3
ODOLMAEB_00511	CDS	12732	rep_50			Replicase polyprotein 1ab
ODOLMAEB_00512	misc_RNA	85				Corona_FSE
ODOLMAEB_00513	CDS	7761	rep_51			Replicase polyprotein 1ab
ODOLMAEB_00514	CDS	3810	S_40			Spike glycoprotein
ODOLMAEB_00515	CDS	693				hypothetical protein
ODOLMAEB_00516	CDS	231				hypothetical protein
ODOLMAEB_00517	CDS	663	M_44			Membrane protein
ODOLMAEB_00518	CDS	1407				hypothetical protein
ODOLMAEB_00519	CDS	597				hypothetical protein
ODOLMAEB_00520	CDS	447				hypothetical protein
ODOLMAEB_00521	misc_RNA	59				Corona_pk3
ODOLMAEB_00522	CDS	12672	rep_52			Replicase polyprotein 1ab
ODOLMAEB_00523	misc_RNA	85				Corona_FSE
ODOLMAEB_00524	CDS	7719	rep_53			Replicase polyprotein 1ab
ODOLMAEB_00525	CDS	3843	S_41			Spike glycoprotein
ODOLMAEB_00526	CDS	693				hypothetical protein
ODOLMAEB_00527	CDS	240				hypothetical protein
ODOLMAEB_00528	CDS	663	M_45			Membrane protein
ODOLMAEB_00529	CDS	1410				hypothetical protein
ODOLMAEB_00530	CDS	597				hypothetical protein
ODOLMAEB_00531	CDS	450				hypothetical protein
ODOLMAEB_00532	misc_RNA	59				Corona_pk3
ODOLMAEB_00533	misc_RNA	71				Coronavirus_5p_sl_1_2
ODOLMAEB_00534	CDS	12348	1a_34			Replicase polyprotein 1a
ODOLMAEB_00535	misc_RNA	79				Corona_FSE
ODOLMAEB_00536	CDS	7833	rep_54			Replicase polyprotein 1ab
ODOLMAEB_00537	CDS	4056	S_42			Spike glycoprotein
ODOLMAEB_00538	CDS	657				hypothetical protein
ODOLMAEB_00539	CDS	228				hypothetical protein
ODOLMAEB_00540	CDS	681	M_46			Membrane protein
ODOLMAEB_00541	CDS	1200	N_40			Nucleoprotein
ODOLMAEB_00542	CDS	462				hypothetical protein
ODOLMAEB_00543	misc_RNA	63				Corona_pk3
ODOLMAEB_00544	misc_RNA	71				Coronavirus_5p_sl_1_2
ODOLMAEB_00545	CDS	12348	1a_35			Replicase polyprotein 1a
ODOLMAEB_00546	misc_RNA	79				Corona_FSE
ODOLMAEB_00547	CDS	7833	rep_55			Replicase polyprotein 1ab
ODOLMAEB_00548	CDS	4056	S_43			Spike glycoprotein
ODOLMAEB_00549	CDS	657				hypothetical protein
ODOLMAEB_00550	CDS	228				hypothetical protein
ODOLMAEB_00551	CDS	681	M_47			Membrane protein
ODOLMAEB_00552	CDS	1200	N_41			Nucleoprotein
ODOLMAEB_00553	CDS	462				hypothetical protein
ODOLMAEB_00554	misc_RNA	63				Corona_pk3
ODOLMAEB_00555	misc_RNA	71				Coronavirus_5p_sl_1_2
ODOLMAEB_00556	CDS	12348	1a_36			Replicase polyprotein 1a
ODOLMAEB_00557	misc_RNA	79				Corona_FSE
ODOLMAEB_00558	CDS	7833	rep_56			Replicase polyprotein 1ab
ODOLMAEB_00559	CDS	4056	S_44			Spike glycoprotein
ODOLMAEB_00560	CDS	657				hypothetical protein
ODOLMAEB_00561	CDS	228				hypothetical protein
ODOLMAEB_00562	CDS	681	M_48			Membrane protein
ODOLMAEB_00563	CDS	1200	N_42			Nucleoprotein
ODOLMAEB_00564	CDS	243				hypothetical protein
ODOLMAEB_00565	CDS	462				hypothetical protein
ODOLMAEB_00566	misc_RNA	63				Corona_pk3
ODOLMAEB_00567	misc_RNA	71				Coronavirus_5p_sl_1_2
ODOLMAEB_00568	CDS	12348	1a_37			Replicase polyprotein 1a
ODOLMAEB_00569	misc_RNA	79				Corona_FSE
ODOLMAEB_00570	CDS	7833	rep_57			Replicase polyprotein 1ab
ODOLMAEB_00571	CDS	4056	S_45			Spike glycoprotein
ODOLMAEB_00572	CDS	657				hypothetical protein
ODOLMAEB_00573	CDS	228				hypothetical protein
ODOLMAEB_00574	CDS	681	M_49			Membrane protein
ODOLMAEB_00575	CDS	1209	N_43			Nucleoprotein
ODOLMAEB_00576	CDS	243				hypothetical protein
ODOLMAEB_00577	CDS	462				hypothetical protein
ODOLMAEB_00578	misc_RNA	63				Corona_pk3
ODOLMAEB_00579	misc_RNA	71				Coronavirus_5p_sl_1_2
ODOLMAEB_00580	CDS	12345	1a_38			Replicase polyprotein 1a
ODOLMAEB_00581	misc_RNA	79				Corona_FSE
ODOLMAEB_00582	CDS	7833	rep_58			Replicase polyprotein 1ab
ODOLMAEB_00583	CDS	4050	S_46			Spike glycoprotein
ODOLMAEB_00584	CDS	657				hypothetical protein
ODOLMAEB_00585	CDS	225				hypothetical protein
ODOLMAEB_00586	CDS	690	M_50			Membrane protein
ODOLMAEB_00587	CDS	1209	N_44			Nucleoprotein
ODOLMAEB_00588	CDS	246				hypothetical protein
ODOLMAEB_00589	CDS	462				hypothetical protein
ODOLMAEB_00590	misc_RNA	63				Corona_pk3
ODOLMAEB_00591	misc_RNA	71				Coronavirus_5p_sl_1_2
ODOLMAEB_00592	CDS	12348	1a_39			Replicase polyprotein 1a
ODOLMAEB_00593	misc_RNA	79				Corona_FSE
ODOLMAEB_00594	CDS	7833	rep_59			Replicase polyprotein 1ab
ODOLMAEB_00595	CDS	4050	S_47			Spike glycoprotein
ODOLMAEB_00596	CDS	657				hypothetical protein
ODOLMAEB_00597	CDS	225				hypothetical protein
ODOLMAEB_00598	CDS	681	M_51			Membrane protein
ODOLMAEB_00599	CDS	1209	N_45			Nucleoprotein
ODOLMAEB_00600	CDS	246				hypothetical protein
ODOLMAEB_00601	CDS	276				hypothetical protein
ODOLMAEB_00602	misc_RNA	63				Corona_pk3
ODOLMAEB_00603	misc_RNA	71				Coronavirus_5p_sl_1_2
ODOLMAEB_00604	CDS	12345	1a_40			Replicase polyprotein 1a
ODOLMAEB_00605	misc_RNA	79				Corona_FSE
ODOLMAEB_00606	CDS	7842	rep_60			Replicase polyprotein 1ab
ODOLMAEB_00607	CDS	4050	S_48			Spike glycoprotein
ODOLMAEB_00608	CDS	657				hypothetical protein
ODOLMAEB_00609	CDS	225				hypothetical protein
ODOLMAEB_00610	CDS	681	M_52			Membrane protein
ODOLMAEB_00611	CDS	1209	N_46			Nucleoprotein
ODOLMAEB_00612	CDS	243				hypothetical protein
ODOLMAEB_00613	CDS	462				hypothetical protein
ODOLMAEB_00614	misc_RNA	63				Corona_pk3
ODOLMAEB_00615	misc_RNA	71				Coronavirus_5p_sl_1_2
ODOLMAEB_00616	CDS	12345	1a_41			Replicase polyprotein 1a
ODOLMAEB_00617	misc_RNA	79				Corona_FSE
ODOLMAEB_00618	CDS	7842	rep_61			Replicase polyprotein 1ab
ODOLMAEB_00619	CDS	4050	S_49			Spike glycoprotein
ODOLMAEB_00620	CDS	657				hypothetical protein
ODOLMAEB_00621	CDS	225				hypothetical protein
ODOLMAEB_00622	CDS	681	M_53			Membrane protein
ODOLMAEB_00623	CDS	1209	N_47			Nucleoprotein
ODOLMAEB_00624	CDS	243				hypothetical protein
ODOLMAEB_00625	CDS	462				hypothetical protein
ODOLMAEB_00626	misc_RNA	63				Corona_pk3
ODOLMAEB_00627	CDS	13125	1a_42			Replicase polyprotein 1a
ODOLMAEB_00628	misc_RNA	82				Corona_FSE
ODOLMAEB_00629	CDS	7887	rep_62			Replicase polyprotein 1ab
ODOLMAEB_00630	CDS	3723	S_50			Spike glycoprotein
ODOLMAEB_00631	CDS	825	3a_22			Protein 3a
ODOLMAEB_00632	CDS	231	E_29			Envelope small membrane protein
ODOLMAEB_00633	CDS	666	M_54			Membrane protein
ODOLMAEB_00634	CDS	192				hypothetical protein
ODOLMAEB_00635	CDS	369	7a_22			Protein 7a
ODOLMAEB_00636	CDS	135				hypothetical protein
ODOLMAEB_00637	CDS	366				hypothetical protein
ODOLMAEB_00638	CDS	1263	N_48			Nucleoprotein
ODOLMAEB_00639	CDS	13152	1a_43			Replicase polyprotein 1a
ODOLMAEB_00640	misc_RNA	82				Corona_FSE
ODOLMAEB_00641	CDS	7887	rep_63			Replicase polyprotein 1ab
ODOLMAEB_00642	CDS	3726	S_51			Spike glycoprotein
ODOLMAEB_00643	CDS	825	3a_23			Protein 3a
ODOLMAEB_00644	CDS	231	E_30			Envelope small membrane protein
ODOLMAEB_00645	CDS	666	M_55			Membrane protein
ODOLMAEB_00646	CDS	192				hypothetical protein
ODOLMAEB_00647	CDS	369	7a_23			Protein 7a
ODOLMAEB_00648	CDS	366				hypothetical protein
ODOLMAEB_00649	CDS	1269	N_49			Nucleoprotein
ODOLMAEB_00650	CDS	13149	1a_44			Replicase polyprotein 1a
ODOLMAEB_00651	misc_RNA	82				Corona_FSE
ODOLMAEB_00652	CDS	7887	rep_64			Replicase polyprotein 1ab
ODOLMAEB_00653	CDS	3771	S_52			Spike glycoprotein
ODOLMAEB_00654	CDS	825	3a_24			Protein 3a
ODOLMAEB_00655	CDS	231	E_31			Envelope small membrane protein
ODOLMAEB_00656	CDS	666	M_56			Membrane protein
ODOLMAEB_00657	CDS	192				hypothetical protein
ODOLMAEB_00658	CDS	369	7a_24			Protein 7a
ODOLMAEB_00659	CDS	135				hypothetical protein
ODOLMAEB_00660	CDS	366				hypothetical protein
ODOLMAEB_00661	CDS	1269	N_50			Nucleoprotein
ODOLMAEB_00662	misc_RNA	43				s2m
ODOLMAEB_00663	CDS	13149	1a_45			Replicase polyprotein 1a
ODOLMAEB_00664	misc_RNA	82				Corona_FSE
ODOLMAEB_00665	CDS	7887	rep_65			Replicase polyprotein 1ab
ODOLMAEB_00666	CDS	3771	S_53			Spike glycoprotein
ODOLMAEB_00667	CDS	825	3a_25			Protein 3a
ODOLMAEB_00668	CDS	231	E_32			Envelope small membrane protein
ODOLMAEB_00669	CDS	666	M_57			Membrane protein
ODOLMAEB_00670	CDS	192				hypothetical protein
ODOLMAEB_00671	CDS	369	7a_25			Protein 7a
ODOLMAEB_00672	CDS	135				hypothetical protein
ODOLMAEB_00673	CDS	366				hypothetical protein
ODOLMAEB_00674	CDS	1269	N_51			Nucleoprotein
ODOLMAEB_00675	misc_RNA	43				s2m
ODOLMAEB_00676	CDS	13149	1a_46			Replicase polyprotein 1a
ODOLMAEB_00677	misc_RNA	82				Corona_FSE
ODOLMAEB_00678	CDS	7887	rep_66			Replicase polyprotein 1ab
ODOLMAEB_00679	CDS	3771	S_54			Spike glycoprotein
ODOLMAEB_00680	CDS	825	3a_26			Protein 3a
ODOLMAEB_00681	CDS	231	E_33			Envelope small membrane protein
ODOLMAEB_00682	CDS	666	M_58			Membrane protein
ODOLMAEB_00683	CDS	192				hypothetical protein
ODOLMAEB_00684	CDS	294				hypothetical protein
ODOLMAEB_00685	CDS	369	7a_26			Protein 7a
ODOLMAEB_00686	CDS	135				hypothetical protein
ODOLMAEB_00687	CDS	366				hypothetical protein
ODOLMAEB_00688	CDS	1269	N_52			Nucleoprotein
ODOLMAEB_00689	misc_RNA	43				s2m
ODOLMAEB_00690	CDS	12483	1a_47			Replicase polyprotein 1a
ODOLMAEB_00691	misc_RNA	79				Corona_FSE
ODOLMAEB_00692	CDS	7830	rep_67			Replicase polyprotein 1ab
ODOLMAEB_00693	CDS	4095	S_55			Spike glycoprotein
ODOLMAEB_00694	CDS	678				hypothetical protein
ODOLMAEB_00695	CDS	225				hypothetical protein
ODOLMAEB_00696	CDS	681	M_59			Membrane protein
ODOLMAEB_00697	CDS	1278	N_53			Nucleoprotein
ODOLMAEB_00698	CDS	390				hypothetical protein
ODOLMAEB_00699	misc_RNA	63				Corona_pk3
ODOLMAEB_00700	CDS	13644				hypothetical protein
ODOLMAEB_00701	misc_RNA	82				Corona_FSE
ODOLMAEB_00702	CDS	7887	rep_68			Replicase polyprotein 1ab
ODOLMAEB_00703	CDS	1356				hypothetical protein
ODOLMAEB_00704	CDS	3954	S_56			Spike glycoprotein
ODOLMAEB_00705	CDS	738				hypothetical protein
ODOLMAEB_00706	CDS	672	M_60			Membrane protein
ODOLMAEB_00707	CDS	1257	N_54			Nucleoprotein
ODOLMAEB_00708	misc_RNA	43				s2m
ODOLMAEB_00709	misc_RNA	68				Coronavirus_5p_sl_1_2
ODOLMAEB_00710	CDS	12804				hypothetical protein
ODOLMAEB_00711	misc_RNA	79				Corona_FSE
ODOLMAEB_00712	CDS	7827	rep_69			Replicase polyprotein 1ab
ODOLMAEB_00713	CDS	4128	S_57			Spike glycoprotein
ODOLMAEB_00714	CDS	660				hypothetical protein
ODOLMAEB_00715	CDS	225				hypothetical protein
ODOLMAEB_00716	CDS	762	M_61			Membrane protein
ODOLMAEB_00717	CDS	1170	N_55			Nucleoprotein
ODOLMAEB_00718	misc_RNA	68				Coronavirus_5p_sl_1_2
ODOLMAEB_00719	CDS	12804				hypothetical protein
ODOLMAEB_00720	misc_RNA	79				Corona_FSE
ODOLMAEB_00721	CDS	7827	rep_70			Replicase polyprotein 1ab
ODOLMAEB_00722	CDS	4131	S_58			Spike glycoprotein
ODOLMAEB_00723	CDS	660				hypothetical protein
ODOLMAEB_00724	CDS	225				hypothetical protein
ODOLMAEB_00725	CDS	759	M_62			Membrane protein
ODOLMAEB_00726	CDS	1170	N_56			Nucleoprotein
ODOLMAEB_00727	misc_RNA	69				Coronavirus_5p_sl_1_2
ODOLMAEB_00728	CDS	12696				hypothetical protein
ODOLMAEB_00729	misc_RNA	79				Corona_FSE
ODOLMAEB_00730	CDS	7830	rep_71			Replicase polyprotein 1ab
ODOLMAEB_00731	CDS	4137	S_59			Spike glycoprotein
ODOLMAEB_00732	CDS	669				hypothetical protein
ODOLMAEB_00733	CDS	225				hypothetical protein
ODOLMAEB_00734	CDS	759	M_63			Membrane protein
ODOLMAEB_00735	CDS	1269	N_57			Nucleoprotein
ODOLMAEB_00736	CDS	450				hypothetical protein
ODOLMAEB_00737	misc_RNA	62				Corona_pk3
ODOLMAEB_00738	misc_RNA	69				Coronavirus_5p_sl_1_2
ODOLMAEB_00739	CDS	12675				hypothetical protein
ODOLMAEB_00740	misc_RNA	79				Corona_FSE
ODOLMAEB_00741	CDS	7830	rep_72			Replicase polyprotein 1ab
ODOLMAEB_00742	CDS	4125	S_60			Spike glycoprotein
ODOLMAEB_00743	CDS	669				hypothetical protein
ODOLMAEB_00744	CDS	225				hypothetical protein
ODOLMAEB_00745	CDS	765	M_64			Membrane protein
ODOLMAEB_00746	CDS	1269	N_58			Nucleoprotein
ODOLMAEB_00747	CDS	480				hypothetical protein
ODOLMAEB_00748	misc_RNA	62				Corona_pk3
ODOLMAEB_00749	misc_RNA	69				Coronavirus_5p_sl_1_2
ODOLMAEB_00750	CDS	12675				hypothetical protein
ODOLMAEB_00751	misc_RNA	79				Corona_FSE
ODOLMAEB_00752	CDS	7830	rep_73			Replicase polyprotein 1ab
ODOLMAEB_00753	CDS	4137	S_61			Spike glycoprotein
ODOLMAEB_00754	CDS	669				hypothetical protein
ODOLMAEB_00755	CDS	225				hypothetical protein
ODOLMAEB_00756	CDS	759	M_65			Membrane protein
ODOLMAEB_00757	CDS	1269	N_59			Nucleoprotein
ODOLMAEB_00758	CDS	480				hypothetical protein
ODOLMAEB_00759	misc_RNA	62				Corona_pk3
ODOLMAEB_00760	misc_RNA	69				Coronavirus_5p_sl_1_2
ODOLMAEB_00761	CDS	12675				hypothetical protein
ODOLMAEB_00762	misc_RNA	79				Corona_FSE
ODOLMAEB_00763	CDS	7830	rep_74			Replicase polyprotein 1ab
ODOLMAEB_00764	CDS	4137	S_62			Spike glycoprotein
ODOLMAEB_00765	CDS	669				hypothetical protein
ODOLMAEB_00766	CDS	225				hypothetical protein
ODOLMAEB_00767	CDS	759	M_66			Membrane protein
ODOLMAEB_00768	CDS	1269	N_60			Nucleoprotein
ODOLMAEB_00769	CDS	450				hypothetical protein
ODOLMAEB_00770	misc_RNA	62				Corona_pk3
ODOLMAEB_00771	CDS	13446	1a_48			Replicase polyprotein 1a
ODOLMAEB_00772	misc_RNA	85				Corona_FSE
ODOLMAEB_00773	CDS	7914	rep_75			Replicase polyprotein 1ab
ODOLMAEB_00774	CDS	3906	S_63			Spike glycoprotein
ODOLMAEB_00775	CDS	312				hypothetical protein
ODOLMAEB_00776	CDS	360	ORF4a_10			Non-structural protein ORF4a
ODOLMAEB_00777	CDS	708	ORF4b_10			Non-structural protein ORF4b
ODOLMAEB_00778	CDS	672				hypothetical protein
ODOLMAEB_00779	CDS	249	E_34			Envelope small membrane protein
ODOLMAEB_00780	CDS	354	M_67			Membrane protein
ODOLMAEB_00781	CDS	1284	N_61			Nucleoprotein
ODOLMAEB_00782	misc_RNA	60				Corona_pk3
ODOLMAEB_00783	CDS	13329	1a_49			Replicase polyprotein 1a
ODOLMAEB_00784	misc_RNA	85				Corona_FSE
ODOLMAEB_00785	CDS	7866	rep_76			Replicase polyprotein 1ab
ODOLMAEB_00786	CDS	4035	S_64			Spike glycoprotein
ODOLMAEB_00787	CDS	276				hypothetical protein
ODOLMAEB_00788	CDS	360	ORF4a_11			Non-structural protein ORF4a
ODOLMAEB_00789	CDS	702	ORF4b_11			Non-structural protein ORF4b
ODOLMAEB_00790	CDS	684				hypothetical protein
ODOLMAEB_00791	CDS	249	E_35			Envelope small membrane protein
ODOLMAEB_00792	CDS	660	M_68			Membrane protein
ODOLMAEB_00793	CDS	1272	N_62			Nucleoprotein
ODOLMAEB_00794	CDS	13149	1a_50			Replicase polyprotein 1a
ODOLMAEB_00795	misc_RNA	82				Corona_FSE
ODOLMAEB_00796	CDS	7887	rep_77			Replicase polyprotein 1ab
ODOLMAEB_00797	CDS	3726	S_65			Spike glycoprotein
ODOLMAEB_00798	CDS	825	3a_27			Protein 3a
ODOLMAEB_00799	CDS	231	E_36			Envelope small membrane protein
ODOLMAEB_00800	CDS	666	M_69			Membrane protein
ODOLMAEB_00801	CDS	369	7a_27			Protein 7a
ODOLMAEB_00802	CDS	135				hypothetical protein
ODOLMAEB_00803	CDS	369				hypothetical protein
ODOLMAEB_00804	CDS	1266	N_63			Nucleoprotein
ODOLMAEB_00805	misc_RNA	43				s2m
ODOLMAEB_00806	CDS	13149	1a_51			Replicase polyprotein 1a
ODOLMAEB_00807	misc_RNA	82				Corona_FSE
ODOLMAEB_00808	CDS	7887	rep_78			Replicase polyprotein 1ab
ODOLMAEB_00809	CDS	3726	S_66			Spike glycoprotein
ODOLMAEB_00810	CDS	825	3a_28			Protein 3a
ODOLMAEB_00811	CDS	231	E_37			Envelope small membrane protein
ODOLMAEB_00812	CDS	666	M_70			Membrane protein
ODOLMAEB_00813	CDS	192				hypothetical protein
ODOLMAEB_00814	CDS	369	7a_28			Protein 7a
ODOLMAEB_00815	CDS	135				hypothetical protein
ODOLMAEB_00816	CDS	369				hypothetical protein
ODOLMAEB_00817	CDS	1266	N_64			Nucleoprotein
ODOLMAEB_00818	misc_RNA	43				s2m
ODOLMAEB_00819	CDS	12555				hypothetical protein
ODOLMAEB_00820	misc_RNA	82				Corona_FSE
ODOLMAEB_00821	CDS	7941	rep_79			Replicase polyprotein 1ab
ODOLMAEB_00822	CDS	3711	S_67			Spike glycoprotein
ODOLMAEB_00823	CDS	825	3a_29			Protein 3a
ODOLMAEB_00824	CDS	231	E_38			Envelope small membrane protein
ODOLMAEB_00825	CDS	666	M_71			Membrane protein
ODOLMAEB_00826	CDS	192				hypothetical protein
ODOLMAEB_00827	CDS	369	7a_29			Protein 7a
ODOLMAEB_00828	CDS	159				hypothetical protein
ODOLMAEB_00829	CDS	1263	N_65			Nucleoprotein
ODOLMAEB_00830	misc_RNA	43				s2m
ODOLMAEB_00831	CDS	13344	1a_52			Replicase polyprotein 1a
ODOLMAEB_00832	misc_RNA	85				Corona_FSE
ODOLMAEB_00833	CDS	7866	rep_80			Replicase polyprotein 1ab
ODOLMAEB_00834	CDS	4035	S_68			Spike glycoprotein
ODOLMAEB_00835	CDS	276				hypothetical protein
ODOLMAEB_00836	CDS	360	ORF4a_12			Non-structural protein ORF4a
ODOLMAEB_00837	CDS	702	ORF4b_12			Non-structural protein ORF4b
ODOLMAEB_00838	CDS	684				hypothetical protein
ODOLMAEB_00839	CDS	249	E_39			Envelope small membrane protein
ODOLMAEB_00840	CDS	660	M_72			Membrane protein
ODOLMAEB_00841	CDS	1272	N_66			Nucleoprotein
ODOLMAEB_00842	CDS	12873	rep_81			Replicase polyprotein 1ab
ODOLMAEB_00843	misc_RNA	85				Corona_FSE
ODOLMAEB_00844	CDS	7728	rep_82			Replicase polyprotein 1ab
ODOLMAEB_00845	CDS	3873	S_69			Spike glycoprotein
ODOLMAEB_00846	CDS	687				hypothetical protein
ODOLMAEB_00847	CDS	231				hypothetical protein
ODOLMAEB_00848	CDS	315	M_73			Membrane protein
ODOLMAEB_00849	CDS	1332	N_67			Nucleoprotein
ODOLMAEB_00850	CDS	564				hypothetical protein
ODOLMAEB_00851	CDS	582				hypothetical protein
ODOLMAEB_00852	CDS	450				hypothetical protein
ODOLMAEB_00853	CDS	13149	1a_53			Replicase polyprotein 1a
ODOLMAEB_00854	misc_RNA	82				Corona_FSE
ODOLMAEB_00855	CDS	7887	rep_83			Replicase polyprotein 1ab
ODOLMAEB_00856	CDS	3711	S_70			Spike glycoprotein
ODOLMAEB_00857	CDS	825	3a_30			Protein 3a
ODOLMAEB_00858	CDS	231	E_40			Envelope small membrane protein
ODOLMAEB_00859	CDS	666	M_74			Membrane protein
ODOLMAEB_00860	CDS	192				hypothetical protein
ODOLMAEB_00861	CDS	369	7a_30			Protein 7a
ODOLMAEB_00862	CDS	135				hypothetical protein
ODOLMAEB_00863	CDS	369				hypothetical protein
ODOLMAEB_00864	CDS	1269	N_68			Nucleoprotein
ODOLMAEB_00865	misc_RNA	43				s2m
ODOLMAEB_00866	CDS	13578	1a_54			Replicase polyprotein 1a
ODOLMAEB_00867	misc_RNA	85				Corona_FSE
ODOLMAEB_00868	CDS	7872	rep_84			Replicase polyprotein 1ab
ODOLMAEB_00869	CDS	4041	S_71			Spike glycoprotein
ODOLMAEB_00870	CDS	312				hypothetical protein
ODOLMAEB_00871	CDS	753	ORF4b_13			Non-structural protein ORF4b
ODOLMAEB_00872	CDS	690				hypothetical protein
ODOLMAEB_00873	CDS	249	E_41			Envelope small membrane protein
ODOLMAEB_00874	CDS	657	M_75			Membrane protein
ODOLMAEB_00875	CDS	1299	N_69			Nucleoprotein
ODOLMAEB_00876	misc_RNA	61				Corona_pk3
ODOLMAEB_00877	CDS	13578	1a_55			Replicase polyprotein 1a
ODOLMAEB_00878	misc_RNA	85				Corona_FSE
ODOLMAEB_00879	CDS	7872	rep_85			Replicase polyprotein 1ab
ODOLMAEB_00880	CDS	4041	S_72			Spike glycoprotein
ODOLMAEB_00881	CDS	312				hypothetical protein
ODOLMAEB_00882	CDS	294	ORF4a_13			Non-structural protein ORF4a
ODOLMAEB_00883	CDS	642	ORF4b_14			Non-structural protein ORF4b
ODOLMAEB_00884	CDS	690				hypothetical protein
ODOLMAEB_00885	CDS	249	E_42			Envelope small membrane protein
ODOLMAEB_00886	CDS	684	M_76			Membrane protein
ODOLMAEB_00887	CDS	1299	N_70			Nucleoprotein
ODOLMAEB_00888	misc_RNA	61				Corona_pk3
ODOLMAEB_00889	CDS	13167	1a_56			Replicase polyprotein 1a
ODOLMAEB_00890	misc_RNA	85				Corona_FSE
ODOLMAEB_00891	CDS	7875	rep_86			Replicase polyprotein 1ab
ODOLMAEB_00892	CDS	4014	S_73			Spike glycoprotein
ODOLMAEB_00893	CDS	306				hypothetical protein
ODOLMAEB_00894	CDS	330	ORF4a_14			Non-structural protein ORF4a
ODOLMAEB_00895	CDS	417	ORF4b_15			Non-structural protein ORF4b
ODOLMAEB_00896	CDS	678				hypothetical protein
ODOLMAEB_00897	CDS	651	M_77			Membrane protein
ODOLMAEB_00898	CDS	1248	N_71			Nucleoprotein
ODOLMAEB_00899	CDS	12261	1a_57			Replicase polyprotein 1a
ODOLMAEB_00900	misc_RNA	79				Corona_FSE
ODOLMAEB_00901	CDS	7851	rep_87			Replicase polyprotein 1ab
ODOLMAEB_00902	CDS	4119	S_74			Spike glycoprotein
ODOLMAEB_00903	CDS	684				hypothetical protein
ODOLMAEB_00904	CDS	234				hypothetical protein
ODOLMAEB_00905	CDS	693	M_78			Membrane protein
