Genome,Length,GC,N,Family,ENSSAST00005000002.1,ENSSAST00005000004.1,ENSSAST00005000005.1,ENSSAST00005000006.1,ENSSAST00005000007.1,ENSSAST00005000008.1,ENSSAST00005000009.1,ENSSAST00005000010.1,ENSSAST00005000011.1,ENSSAST00005000012.1,ENSSAST00005000013.1,Total_Ref_Count
MF593268,30009,40.21,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KT444582,30290,40.90,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KJ473812,29443,40.98,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,N/A,N/A,PROKKA,PROKKA,PROKKA,PROKKA,BLAST,7
KJ473811,29037,41.00,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KJ473813,29461,40.97,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,N/A,N/A,PROKKA,PROKKA,PROKKA,PROKKA,BLAST,7
KJ473815,29161,40.86,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,N/A,7
KJ473814,29658,41.43,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,N/A,BLAST,7
KJ473816,29142,41.10,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,N/A,7
MF094687,27174,39.35,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MF094688,27177,39.34,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MF094685,27200,39.29,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MF094686,27198,39.48,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG693170,29123,41.29,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG693168,28975,41.38,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG693172,28958,41.26,0.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG693169,28989,41.41,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KT253272,28688,39.62,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KT253270,28020,38.68,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KT253269,28026,38.93,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KT253271,28754,40.83,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KC869678,30111,40.15,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KF294457,29676,40.83,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
KF569996,29805,40.68,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,N/A,BLAST,5
KY352407,29274,39.22,0.00,Betacoronavirus,PROKKA,N/A,N/A,N/A,N/A,N/A,N/A,BLAST,N/A,N/A,BLAST,3
